Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,status
2001,0.58,0.74,4,215,3,0,0,sales,low,exist
2002,0.82,0.67,2,202,3,0,0,sales,low,exist
2003,0.45,0.69,5,193,3,0,0,sales,low,exist
2004,0.78,0.82,5,247,3,0,0,sales,low,exist
2005,0.49,0.6,3,214,2,0,0,sales,low,exist
2006,0.36,0.95,3,206,4,0,0,sales,low,exist
2007,0.54,0.37,2,176,2,0,0,sales,low,exist
2008,0.99,0.91,5,136,4,0,0,sales,low,exist
2009,0.5,0.75,6,127,3,0,0,sales,low,exist
2010,0.74,0.64,4,268,3,0,0,sales,low,exist
2011,0.56,0.58,4,258,3,0,0,sales,medium,exist
2012,0.34,0.39,2,136,3,0,0,sales,medium,exist
2013,0.48,0.94,5,255,6,0,0,accounting,medium,exist
2014,0.73,0.62,3,218,3,0,0,accounting,medium,exist
2015,0.59,0.87,3,268,4,0,0,accounting,medium,exist
2016,0.81,0.57,3,224,2,0,0,hr,medium,exist
2017,0.9,0.66,3,231,3,0,0,hr,medium,exist
2018,0.41,0.84,6,191,6,0,0,hr,medium,exist
2019,0.89,0.92,4,165,5,0,0,hr,medium,exist
2020,0.48,0.84,4,252,3,0,0,technical,medium,exist
2021,0.79,0.97,5,266,2,0,0,technical,medium,exist
2022,0.98,0.66,5,248,3,0,0,technical,medium,exist
2023,0.75,0.7,4,144,4,0,0,technical,high,exist
2024,1.0,0.41,4,174,3,0,0,technical,low,exist
2025,0.24,0.82,5,179,6,0,0,technical,medium,exist
2026,0.84,0.43,6,246,4,0,0,technical,medium,exist
2027,0.56,0.86,4,201,3,1,0,technical,medium,exist
2028,0.92,0.93,4,208,3,0,0,technical,medium,exist
2029,0.61,0.98,3,267,3,0,0,technical,low,exist
2030,0.84,0.77,4,262,4,0,0,technical,low,exist
2031,0.85,0.59,3,235,3,0,0,support,low,exist
2032,0.67,0.57,2,160,4,0,0,support,low,exist
2033,0.54,0.94,4,267,4,0,0,support,low,exist
2034,0.75,0.56,5,175,4,0,0,support,low,exist
2035,0.82,0.79,4,224,2,0,0,support,low,exist
2036,0.76,0.6,4,177,2,0,0,support,low,exist
2037,0.19,0.53,6,191,4,0,0,support,low,exist
2038,0.61,0.41,3,138,3,0,0,support,low,exist
2039,0.51,0.8,3,218,2,1,0,support,low,exist
2040,0.52,0.88,3,179,2,1,0,support,low,exist
2041,0.74,0.58,3,241,3,0,0,support,low,exist
2042,0.98,0.91,4,240,3,0,0,technical,low,exist
2043,0.71,0.92,3,202,4,0,0,technical,low,exist
2044,0.33,0.88,6,260,3,0,0,technical,low,exist
2045,0.98,0.97,3,196,3,0,0,management,low,exist
2046,0.52,0.59,2,176,3,1,0,IT,low,exist
2047,0.84,0.65,2,140,3,0,0,IT,low,exist
2048,0.87,0.5,3,242,2,0,0,IT,low,exist
2049,0.48,0.85,3,279,4,0,0,IT,low,exist
2050,0.58,0.55,4,202,3,0,0,IT,medium,exist
2051,0.58,0.84,5,228,3,0,0,product_mng,medium,exist
2052,0.73,0.69,4,171,3,0,0,product_mng,medium,exist
2053,0.68,0.54,4,153,3,0,0,product_mng,medium,exist
2054,0.41,0.68,3,165,3,1,0,product_mng,medium,exist
2055,0.85,0.6,3,182,3,0,0,IT,medium,exist
2056,0.54,0.7,5,239,5,0,0,RandD,medium,exist
2057,0.81,0.61,5,231,2,0,0,RandD,medium,exist
2058,0.7,0.52,4,255,3,0,0,RandD,medium,exist
2059,0.63,0.66,4,237,2,1,0,RandD,medium,exist
2060,0.68,0.54,3,251,2,0,0,RandD,medium,exist
2061,0.7,0.53,4,178,2,0,0,marketing,medium,exist
2062,0.82,0.65,4,148,3,0,0,sales,high,exist
2063,0.72,0.94,4,240,4,0,0,accounting,low,exist
2064,0.77,0.78,3,269,3,0,0,support,medium,exist
2065,0.86,0.91,4,147,3,0,0,technical,medium,exist
2066,0.15,0.97,3,198,5,0,0,management,medium,exist
2067,0.81,0.99,5,143,3,0,0,marketing,medium,exist
2068,0.93,0.98,3,238,2,0,0,marketing,low,exist
2069,0.62,0.74,4,213,4,0,0,marketing,low,exist
2070,0.53,0.81,3,226,3,1,0,sales,low,exist
2071,0.86,0.99,3,169,2,1,0,sales,low,exist
2072,0.92,0.65,4,238,2,0,0,sales,low,exist
2073,0.97,0.83,4,202,3,0,0,sales,low,exist
2074,0.39,0.78,2,205,6,1,0,sales,low,exist
2075,0.45,0.66,3,111,4,0,0,sales,low,exist
2076,0.41,0.47,4,104,3,0,0,sales,low,exist
2077,0.51,0.69,3,212,3,0,0,sales,low,exist
2078,0.74,0.62,4,236,4,0,0,sales,low,exist
2079,0.69,0.57,5,245,2,1,0,sales,low,exist
2080,0.84,0.64,4,267,4,0,0,sales,low,exist
2081,0.69,0.66,5,106,5,0,0,sales,low,exist
2082,0.93,0.53,5,198,3,0,0,sales,low,exist
2083,0.33,0.45,6,239,3,0,0,sales,low,exist
2084,0.25,0.65,5,220,3,0,0,sales,low,exist
2085,0.63,0.59,5,224,3,0,0,sales,low,exist
2086,0.81,0.62,3,100,3,0,0,sales,low,exist
2087,0.12,0.87,4,244,5,0,0,sales,low,exist
2088,0.52,0.66,4,139,3,0,0,sales,low,exist
2089,0.57,0.51,2,152,2,0,0,accounting,medium,exist
2090,0.84,0.58,4,208,3,0,0,accounting,medium,exist
2091,0.6,0.95,5,205,3,0,0,accounting,medium,exist
2092,0.73,0.44,2,194,6,0,0,hr,medium,exist
2093,0.2,0.58,3,209,5,0,0,hr,medium,exist
2094,0.58,0.9,3,212,3,0,0,hr,medium,exist
2095,0.48,0.56,2,151,3,0,0,hr,medium,exist
2096,0.54,0.67,4,282,6,0,0,technical,medium,exist
2097,0.86,1.0,4,256,3,0,0,technical,medium,exist
2098,0.94,0.83,2,185,3,1,0,technical,medium,exist
2099,0.76,0.74,5,132,3,0,0,technical,medium,exist
2100,0.61,0.95,5,233,3,0,0,technical,medium,exist
2101,0.56,0.94,4,215,2,0,0,technical,high,exist
2102,1.0,0.74,3,220,4,0,0,technical,low,exist
2103,0.15,0.53,6,222,3,0,0,technical,medium,exist
2104,0.19,0.58,5,182,2,0,0,technical,medium,exist
2105,0.17,0.73,5,258,4,0,0,technical,medium,exist
2106,0.71,0.57,3,209,2,0,0,technical,medium,exist
2107,0.86,0.79,3,242,2,0,0,support,low,exist
2108,0.59,0.88,4,155,3,1,0,support,low,exist
2109,0.74,0.76,5,104,4,0,0,support,low,exist
2110,0.98,0.92,4,201,3,1,0,support,low,exist
2111,0.93,0.75,5,143,3,0,0,support,low,exist
2112,1.0,0.92,5,161,3,1,0,support,low,exist
2113,0.59,0.81,4,200,2,0,0,support,low,exist
2114,0.98,0.55,4,255,2,0,0,support,low,exist
2115,0.35,0.5,5,227,2,0,0,support,low,exist
2116,0.42,0.96,3,270,6,0,0,support,low,exist
2117,0.61,0.85,5,230,3,0,0,support,low,exist
2118,0.78,0.72,5,270,3,1,0,technical,low,exist
2119,0.93,0.52,4,200,3,0,0,technical,low,exist
2120,0.5,0.95,5,207,3,0,0,technical,low,exist
2121,0.67,0.51,5,182,3,0,0,management,low,exist
2122,0.75,0.85,4,234,3,0,0,IT,low,exist
2123,0.79,0.51,4,237,2,0,0,IT,low,exist
2124,0.84,0.89,4,187,2,1,0,IT,low,exist
2125,0.72,0.5,3,257,6,0,0,IT,low,exist
2126,0.57,0.48,2,194,2,0,0,IT,low,exist
2127,0.73,0.52,4,162,3,0,0,product_mng,low,exist
2128,0.74,0.58,4,148,2,0,0,product_mng,medium,exist
2129,0.52,0.83,4,210,2,0,0,product_mng,medium,exist
2130,0.56,0.76,3,213,2,1,0,product_mng,medium,exist
2131,0.76,0.68,4,189,2,1,0,IT,medium,exist
2132,0.82,0.93,4,185,2,0,0,RandD,medium,exist
2133,0.76,0.83,3,186,2,1,0,RandD,medium,exist
2134,0.62,0.59,3,128,3,0,0,RandD,medium,exist
2135,0.48,0.8,4,268,3,0,0,RandD,medium,exist
2136,0.64,0.77,3,213,3,1,0,RandD,medium,exist
2137,0.74,0.82,4,142,2,0,0,marketing,medium,exist
2138,0.52,0.43,2,199,2,0,0,sales,medium,exist
2139,0.67,0.5,4,157,2,0,0,accounting,medium,exist
2140,0.71,0.76,5,172,2,1,0,support,high,exist
2141,0.72,0.63,3,176,3,1,0,technical,low,exist
2142,0.33,0.58,2,183,2,0,0,management,medium,exist
2143,0.91,0.56,4,270,2,0,0,marketing,medium,exist
2144,0.88,0.68,5,157,4,1,0,marketing,medium,exist
2145,0.96,0.6,4,185,3,0,0,marketing,medium,exist
2146,0.97,0.68,3,167,3,0,0,sales,low,exist
2147,0.27,0.59,5,226,5,0,0,sales,low,exist
2148,0.65,0.64,3,223,4,0,0,sales,low,exist
2149,0.68,0.73,3,257,3,0,0,sales,low,exist
2150,0.68,0.46,4,143,3,0,0,sales,low,exist
2151,0.69,0.74,3,215,2,0,0,sales,low,exist
2152,0.79,0.99,3,194,4,0,0,sales,low,exist
2153,0.74,0.92,5,193,3,0,0,sales,low,exist
2154,0.8,0.83,3,163,3,0,0,sales,low,exist
2155,0.38,0.94,5,252,5,0,0,sales,low,exist
2156,0.26,0.83,3,168,3,0,0,sales,low,exist
2157,0.81,0.86,3,231,3,0,0,sales,low,exist
2158,0.67,0.54,2,141,2,0,0,sales,low,exist
2159,0.55,0.81,4,260,2,0,0,sales,low,exist
2160,0.87,0.71,3,132,2,0,0,sales,low,exist
2161,0.46,0.69,2,159,2,0,0,sales,low,exist
2162,0.63,0.57,4,177,3,1,0,sales,low,exist
2163,0.54,0.96,4,248,3,0,0,sales,low,exist
2164,1.0,0.49,3,185,2,0,0,sales,low,exist
2165,0.97,0.66,4,149,2,0,0,accounting,low,exist
2166,0.9,0.92,3,152,3,0,0,accounting,low,exist
2167,0.75,0.7,3,129,3,0,0,accounting,medium,exist
2168,0.92,0.84,4,208,2,0,0,hr,medium,exist
2169,0.8,0.94,4,136,2,0,0,hr,medium,exist
2170,0.57,0.81,3,142,2,0,0,hr,medium,exist
2171,0.81,0.94,3,225,4,0,0,hr,medium,exist
2172,0.64,0.6,3,143,3,0,0,technical,medium,exist
2173,0.71,0.54,4,215,3,0,0,technical,medium,exist
2174,0.35,0.58,3,229,6,1,0,technical,medium,exist
2175,0.88,0.81,5,193,5,0,0,technical,medium,exist
